آراشیر,,,091552070643,فاز 1 بلوار صنعت 11,35410171,
 آلما دکور,,,09153164367,فاز 3 کارگاهی پ 316,,
احسان قطعه,,,35413590, فاز  2  دانش 8 قطعه 2  راست,,
اب نما غلامی,,,09158260045,ابتدای ورودی چاهشک,09155117276,
اسباب بازی بهشتی,,,09387350139,فاز یک  تلاش شمالی10/2 پ 502,,
آوند فر/ خرسند,,,09305105676,کوچه مشهد دوام,,
اسباب بازی/مولود شرق /دولتی,,,09330171562,اندیشه 3 پ  108--خانم زارعی,,تلفن35411763-داخلی 4-35411910 داخلی 125
آسمانی / کارتن,,,09159072060,کوچه امید صنعت بالاتر از متین کارتن,,
ایران پالت,,,09054348227,بعد از پمپ بنزین ناظریه داخل کوچه رب زشک,,خانم شریعتی
آپادان پلاس,,,09155014217 ,روبروی شیرپگاه جنب کوچه کاله,,خانم طاهری
تانکر سازی بهنام,,,09151161406,پیامبر اعظم,,
بهرخ,,,09152064253 ,ثامن,,قصابان
برق گیر توس,,,09151020181,تلاش شمالی 10 قطعه 497,,تلفن 35413014 داخلی1 خانم حسن زاده- همراه هوشیار
باراد,,,09152519920,فاز 2 دانش 4 پلاک 658 / انبار اندیشه 11 پ 725 ,,تلفن 31540000-09363522147-09016193001-
برادران کیلا,,,35420058,شاهنامه  14,,
بهبود گستر/الیاس سانیا,,,09150726082,تلاش شمالی  6/2 پ 148 B,, قربانی-09368364664 ناصری
بخار نیرو,,,09150769765,بلوار تعاون ج قطعه 2 چپ-خانم افشین,,تلفن -35413219-محمدی
آجیل حسینی,,,35412384,فاز یک تلاش شمالی 5/2 قطعه اول پ 263,,تلفن  خانم همدان لو
آرد میثم,,,09158797005,فاز یک  صنعت 5,,تلفن  لطفی
آتشبار ایرانیان,,,35410289,فاز  2  دانش  4 پ 647,,
برشکاری نوغابی,,,35412307,اندیشه4,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
